y_test,y_pred
0.59,0.6048634527441745
0.59,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.5800000000000001,0.6048634527441745
0.4499999999999999,0.6048634527441745
0.4499999999999999,0.6048634527441745
0.4499999999999999,0.6048634527441745
0.4499999999999999,0.6048634527441745
0.62,0.6048634527441745
0.62,0.6048634527441745
0.62,0.6048634527441745
0.62,0.6048634527441745
0.79,0.6048634527441745
0.79,0.6048634527441745
0.79,0.6048634527441745
0.79,0.6048634527441745
0.7050000000000001,0.6048634527441745
0.7050000000000001,0.6048634527441745
0.7050000000000001,0.6048634527441745
0.7050000000000001,0.6048634527441745
0.6499999999999999,0.6048634527441745
0.6499999999999999,0.6048634527441745
0.6499999999999999,0.6048634527441745
0.6499999999999999,0.6048634527441745
0.56,0.6048634527441745
0.56,0.6048634527441745
0.56,0.6048634527441745
0.56,0.6048634527441745
0.47,0.6048634527441745
0.47,0.6048634527441745
0.47,0.6048634527441745
0.47,0.6048634527441745
